publishedAt,title,description,content,url,image,source
2021-08-17 23:00:00+00:00,"Tilray buys convertible debt of pot producer MedMen, eyes U.S. market","Despite its “challenges and tribulations,” MedMen remains an “iconic brand, known by everybody, the ‘Apple’ of cannabis.”","Despite its “challenges and tribulations,” MedMen remains an “iconic brand, known by everybody, the ‘Apple’ of cannabis.”
By buying convertible debt and warrants — which can be changed into shares later — Tilray gets the option to take a “significant... [2254 chars]",https://lfpress.com/cannabis-news/tilray-buys-convertible-debt-of-pot-producer-medmen-eyes-u-s-market,https://smartcdn.prod.postmedia.digital/thegrowthop/wp-content/uploads/2018/11/GettyImages-468340908-e1542902215734.jpg,"{'name': 'The London Free Press', 'url': 'https://lfpress.com'}"
2021-08-17 22:26:21+00:00,Apple has made its controversial Safari redesign optional in the latest betas of iOS 15 and iPadOS 15,"After months of negative feedback, Apple has decided to make its new Safari design for iOS and iPadOS optional for users.","When Apple originally announced iOS 15 and iPadOS 15 at WWDC21, it revealed a complete redesign to Safari. The redesign included a new user interface as well as the new Tab Bar, which floated towards the bottom of the display for iPhone users.
While ... [449 chars]",https://www.imore.com/apple-has-made-its-controversial-safari-redesign-optional-latest-betas-ios-15-and-ipados-15,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2021/08/ios15-b6-safari-tabs-address-bar.jpg,"{'name': 'iMore', 'url': 'https://www.imore.com'}"
2021-08-17 22:00:01+00:00,7 Beautiful Apple Accessories for Desk Setups,Create elegant and peaceful setups at home for all your Apple-related devices with these beautiful accessories.,"If you're looking to make your actual desk setup appear like an Instagram post, look no further. These are some of the most beautiful and cool Apple accessories. All these gadgets are plenty functional and useful, but they bring some style to typical... [4384 chars]",https://www.newsweek.com/7-beautiful-apple-accessories-desk-setups-1617101,https://d.newsweek.com/en/full/1865317/grovemade-wood-stand.png,"{'name': 'Newsweek', 'url': 'https://www.newsweek.com'}"
2021-08-17 21:40:18+00:00,Apple Seeds Sixth Beta of watchOS 8 to Developers,"Apple today seeded the sixth beta of the upcoming watchOS 8 update to developers for testing purposes, with the update coming one week after Apple...","Apple today seeded the sixth beta of the upcoming watchOS 8 update to developers for testing purposes, with the update coming one week after Apple released the fifth watchOS 8 beta.
To install ‌‌watchOS 8‌‌, developers will need to download the confi... [1601 chars]",https://www.macrumors.com/2021/08/17/apple-seeds-watchos-8-beta-6-to-developers/,https://images.macrumors.com/t/UKOm6RoLJCJxHl8IxwEUz9f4GmE=/1600x/https://images.macrumors.com/article-new/2021/06/watchOS-8-on-Apple-Watch-feature.jpg,"{'name': 'MacRumors', 'url': 'https://www.macrumors.com'}"
2021-08-17 21:36:45+00:00,Apple seeds watchOS 8 beta 6 to all developers,"Less than a week week after seeding watchOS 8 beta 5 to developers, Apple is releasing its sixth beta. Here’s everything new with it.","Less than a week week after seeding watchOS 8 beta 5 to developers, Apple is releasing its sixth beta. Here’s everything new with the upcoming Apple Watch operating system.
Today’s build is 19R5330d. Public beta testers will have to wait a bit longer... [1995 chars]",https://9to5mac.com/2021/08/17/apple-seeds-watchos-8-beta-6-to-all-developers/,https://i2.wp.com/9to5mac.com/wp-content/uploads/sites/6/2021/06/watchOS-8-hero.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1,"{'name': '9to5Mac', 'url': 'https://9to5mac.com'}"
2021-08-17 21:35:10+00:00,Updated app from Apple brings iCloud Passwords to Windows,"It's certainly not on par with 1Password, but it's a welcome addition anyway.","Apple has released a new version of iCloud for Windows, numbered 12.5. The update adds the ability to access and manage passwords saved in iCloud from a Windows machine, a feature that users have long requested.
Apple has been gradually adding more s... [2169 chars]",https://arstechnica.com/gadgets/2021/08/updated-app-from-apple-brings-icloud-passwords-to-windows/,https://cdn.arstechnica.net/wp-content/uploads/2021/08/icloud-passwords-4-760x380.png,"{'name': 'Ars Technica', 'url': 'https://arstechnica.com'}"
2021-08-17 21:24:34+00:00,New York robbery crew used Apple Watch to net $500K: feds,"A New York robbery crew that targeted drug runners hit the jackpot late last year, netting $500,000 in cash after tracking a targeted criminal’s car — with a hidden Apple Watch, new court documents show.","A New York robbery crew that targeted drug runners hit the jackpot late last year, netting $500,000 in cash after tracking a targeted criminal’s car — with a hidden Apple Watch, new court documents show.
The seven-person crew based in the Hudson Vall... [3188 chars]",https://nypost.com/2021/08/17/new-york-robbery-crew-used-apple-watch-to-net-500k-feds/,https://nypost.com/wp-content/uploads/sites/2/2021/08/darren-lindsay-36.jpg?quality=90&strip=all&w=1024,"{'name': 'New York Post', 'url': 'https://nypost.com'}"
2021-08-17 21:12:35+00:00,"Everything New in iOS 15 Beta 6: SharePlay Disabled, Safari Redesigned and More","Apple released the sixth beta of iOS 15 just a week after the fifth beta, but the new update brings some of the most significant tweaks that...","Apple's iPhone event will be starting shortly – Follow our Live Coverage
Apple released the sixth beta of iOS 15 just a week after the fifth beta, but the new update brings some of the most significant tweaks that we've seen to ‌iOS 15‌ during the be... [2018 chars]",https://www.macrumors.com/2021/08/17/everything-new-in-ios-15-beta-6/,https://images.macrumors.com/t/vITLB85hyiBWRUCpHIBHGKDftg4=/2250x/https://images.macrumors.com/article-new/2021/06/iOS-15-General-Feature-Yellow.jpg,"{'name': 'MacRumors', 'url': 'https://www.macrumors.com'}"
2021-08-17 20:44:06+00:00,The Pixel 6 will follow in Apple and Samsung's footsteps in one important way,"Do you really need another power brick with your next phone? Google, following in the footsteps of Apple, Samsung, and Xiaomi, thinks that you don't. The","Do you really need another power brick with your next phone? Google, following in the footsteps of Apple, Samsung, and Xiaomi, thinks that you don't. The company has announced that the Pixel 5a, just announced (and reviewed!) today, is the last Pixel... [1358 chars]",https://www.androidpolice.com/2021/08/17/the-pixel-6-will-follow-in-apple-and-samsungs-footsteps-in-one-important-way/,https://www.androidpolice.com/wp-content/uploads/2021/08/17/KGC24516-scaled.jpg,"{'name': 'Android Police', 'url': 'https://www.androidpolice.com'}"
2021-08-17 20:36:57+00:00,Apple’s Fall Event: What to Expect From Upcoming Launch,Apple is likely holding a fall event in September to announce the rumored iPhone 13 and other new hardware. Here's what we expect from the company.,"September is just around the corner and Apple is expected to hold a fall event to launch a new slate of hardware. According to a report from Bloomberg’s Mark Gurman, we should actually expect multiple such events. As Apple typically demarcates its iP... [4161 chars]",https://www.digitaltrends.com/mobile/apple-fall-event-what-to-expect/,https://icdn.digitaltrends.com/image/digitaltrends/iphone-12-purple-3.jpg,"{'name': 'Digital Trends', 'url': 'https://www.digitaltrends.com'}"
