publishedAt,score
2020-07-14,0.0
2020-07-15,0.2349599003791809
2020-07-16,0.7229315936565399
2020-07-17,0.3277357518672943
2020-07-18,0.0
2020-07-19,0.96537846326828
2020-07-20,-0.8486374616622925
2020-07-21,0.4710117429494858
2020-07-22,-0.051852330565452576
2020-07-23,0.0
2020-07-24,0.31816144784291583
2020-07-27,0.32873741785685223
2020-07-28,0.009596377611160278
2020-07-29,0.0
2020-07-30,0.3325222333272298
2020-07-31,0.39657916128635406
2020-08-01,0.0
2020-08-02,0.24991953372955322
2020-08-03,0.3332336445649465
2020-08-04,0.1382262877055577
2020-08-05,0.06431698799133301
2020-08-06,0.2397735459463937
2020-08-07,0.39563281536102296
2020-08-08,0.0
2020-08-10,0.315087890625
2020-08-11,0.08310094972451527
2020-08-12,0.0
2020-08-13,-0.017014598846435545
2020-08-14,0.0
2020-08-16,0.6184790134429932
2020-08-17,0.0849948525428772
2020-08-18,0.19948935508728027
2020-08-19,0.33317205641004777
2020-08-20,0.22199746966362
2020-08-21,0.04192491088594709
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,0.0223652184009552
2020-08-25,0.11048038800557454
2020-08-26,0.1711156666278839
2020-08-27,0.33086796998977663
2020-08-28,0.08510927557945251
2020-08-29,-0.3588820695877075
2020-08-30,0.0
2020-08-31,0.15380253791809081
2020-09-01,0.3601442575454712
2020-09-02,0.36339110136032104
2020-09-03,-0.14394674301147461
2020-09-04,0.09960930943489074
2020-09-05,0.18314808011054992
2020-09-06,-0.01544845700263977
2020-09-07,0.29649696946144105
2020-09-08,0.2213285744190216
2020-09-09,0.3961029648780823
2020-09-10,0.1915982782840729
2020-09-11,0.06306148171424866
2020-09-12,0.14401233792304993
2020-09-13,-0.030150920152664185
2020-09-14,0.09874939322471618
2020-09-15,0.1219901204109192
2020-09-16,0.395857435464859
2020-09-17,0.11798236966133117
2020-09-18,0.06279564499855042
2020-09-19,0.09939807653427124
2020-09-20,-0.10218735933303832
2020-09-21,0.28015443682670593
2020-09-22,0.2633511066436768
2020-09-23,0.3933733344078064
2020-09-24,0.38867520689964297
2020-09-25,0.0863743007183075
2020-09-26,0.2574425756931305
2020-09-27,0.4860566258430481
2020-09-28,0.272070986032486
2020-09-29,0.39798201620578766
2020-09-30,0.0
2020-10-01,0.11179102063179017
2020-10-02,0.07471550107002259
2020-10-03,0.19981106519699096
2020-10-04,0.1429132640361786
2020-10-05,0.09682008028030395
2020-10-06,-0.05320661067962647
2020-10-07,-0.05477083325386047
2020-10-08,0.04992594122886658
2020-10-09,0.14862481355667115
2020-10-10,0.09931974411010742
2020-10-11,0.1607936680316925
2020-10-12,0.022689270973205566
2020-10-13,0.3971413135528564
2020-10-14,0.27180022597312925
2020-10-15,0.19881246685981752
2020-10-16,0.13397565484046936
2020-10-17,0.0
2020-10-18,0.07247648239135743
2020-10-19,0.1998008370399475
2020-10-20,0.00992225408554077
2020-10-21,0.19891375303268433
2020-10-22,0.1984381854534149
2020-10-23,0.19708659052848815
2020-10-24,0.29596713185310364
2020-10-25,0.19981881976127625
2020-10-26,0.3084169626235962
2020-10-27,0.19904910326004027
2020-10-28,0.19988836646080016
2020-10-29,-0.3794680953025818
2020-10-30,0.1015120267868042
2020-10-31,0.29928922057151797
2020-11-01,-0.004829013347625732
2020-11-02,-0.07273685336112976
2020-11-03,0.24808582067489623
2020-11-04,0.29995056986808777
2020-11-05,-0.0004192948341369629
2020-11-06,-0.09925474524497986
2020-11-07,-0.0001267075538635254
2020-11-08,0.19875393509864808
2020-11-09,0.09397010803222657
2020-11-10,0.4953944206237793
2020-11-11,0.19840946793556213
2020-11-12,0.03800904154777527
2020-11-13,0.12395938038825989
2020-11-14,0.09927048087120056
2020-11-15,0.0999593198299408
2020-11-16,-0.16410042047500611
2020-11-17,0.20856488347053528
2020-11-18,0.24235376715660095
2020-11-19,0.28349038362503054
2020-11-20,0.3952168822288513
2020-11-21,0.06230490803718567
2020-11-22,-0.19125475883483886
2020-11-23,-0.10383862257003784
2020-11-24,0.16516368687152863
2020-11-25,0.10712192058563233
2020-11-26,0.36604597568511965
2020-11-27,0.25266323089599607
2020-11-28,0.4757307589054108
2020-11-29,0.6345035552978515
2020-11-30,0.2961308419704437
2020-12-01,0.32311434745788575
2020-12-02,0.2588250398635864
2020-12-03,0.09996628761291504
2020-12-04,0.2874339997768402
2020-12-05,0.1994864284992218
2020-12-06,0.10475772023200988
2020-12-07,0.19392043948173524
2020-12-08,0.0
2020-12-09,0.19995219707489015
2020-12-10,0.2776776671409607
2020-12-11,0.19984955191612244
2020-12-12,0.07914026379585266
2020-12-13,0.10167083144187927
2020-12-14,0.07833279967308045
2020-12-15,0.39023972153663633
2020-12-16,0.0894237995147705
2020-12-17,0.009228569269180299
2020-12-18,-0.11040683984756469
2020-12-19,-0.2520649373531342
2020-12-20,-0.1792074680328369
2020-12-21,-0.0018784046173095704
2020-12-22,0.09141715764999389
2020-12-23,0.263731586933136
2020-12-24,0.29666963815689085
2020-12-25,0.018276971578598023
2020-12-26,0.1434511125087738
2020-12-27,0.14737555980682374
2020-12-28,0.29170680046081543
2020-12-29,0.28809153735637666
2020-12-30,0.29940091967582705
2020-12-31,0.11993794441223145
2021-01-01,0.19978991150856018
2021-01-02,0.103294837474823
2021-01-03,0.2963560104370117
2021-01-04,0.2048578143119812
2021-01-05,0.26403884291648866
2021-01-06,0.08989067673683167
2021-01-07,0.3883949100971222
2021-01-08,0.4043560564517975
2021-01-09,0.09509969353675843
2021-01-10,0.12034859657287597
